trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm
103,dwell,S2H_ABS,3,13,"(1,2)",1599.543167,325.889048,1,4,22.064495,172.178315
104,dwell,S2H_ABS,3,14,"(0,0)",2248.790741,395.638080,3,6,109.995226,273.552842
105,dwell,S2H_ABS,3,15,"(2,2)",1948.204917,282.181176,1,4,272.867430,202.319117
106,dwell,S2H_ABS,3,16,"(2,1)",1297.245772,186.893298,1,2,66.405679,109.208982
107,dwell,S2H_ABS,3,17,"(0,1)",2249.476494,410.069712,3,5,199.276539,313.726666
108,dwell,S2H_ABS,3,18,"(1,0)",2098.492473,364.967179,1,7,138.835249,262.822910
109,dwell,S2H_ABS,3,19,"(2,0)",1947.268003,239.129124,2,5,209.647692,161.913048
110,dwell,S2H_ABS,3,0,"(2,0)",1549.233844,148.486809,1,5,194.083312,87.110331
111,dwell,S2H_ABS,3,1,"(0,2)",2044.245683,368.178592,1,7,120.695570,246.992119
112,dwell,S2H_ABS,3,2,"(1,1)",1548.397451,261.711540,2,5,47.832158,177.776046
113,dwell,S2H_ABS,3,3,"(0,1)",2255.314228,345.305979,2,4,56.362336,261.980118
114,dwell,S2H_ABS,3,4,"(1,0)",2053.115607,278.288839,1,7,110.809871,234.161801
115,dwell,S2H_ABS,3,5,"(2,1)",1894.124511,213.915672,2,5,185.889696,131.137214
116,dwell,S2H_ABS,3,6,"(0,0)",1949.250688,381.509591,2,5,196.775894,287.970987
117,dwell,S2H_ABS,3,7,"(2,2)",1795.152327,222.408553,1,3,210.079247,162.054427
118,dwell,S2H_ABS,3,8,"(1,2)",3245.347396,84.399440,1,3,180.997861,299.336156
119,dwell,S2H_ABS,3,9,"(2,0)",1750.599924,177.678020,3,4,165.711742,116.799577
120,dwell,S2H_ABS,3,10,"(0,2)",2149.695716,418.847080,2,7,119.936051,247.506453
121,dwell,S2H_ABS,3,11,"(1,1)",2446.337293,394.205336,1,3,62.370129,218.362307
122,dwell,S2H_ABS,3,12,"(0,1)",2250.942241,338.852631,3,4,56.104515,242.995109
123,dwell,S2H_ABS,3,13,"(1,0)",1848.490661,322.047483,2,5,84.349496,238.185380
124,dwell,S2H_ABS,3,14,"(2,1)",1800.009493,153.399483,2,5,167.362247,106.260020
125,dwell,S2H_ABS,3,15,"(0,0)",2296.321645,377.757396,1,5,178.306242,264.923179
126,dwell,S2H_ABS,3,16,"(2,2)",1794.217333,198.855100,2,7,197.267620,141.307901
127,dwell,S2H_ABS,3,17,"(1,2)",1699.935439,234.780503,3,2,61.757675,137.944807
128,dwell,S2H_ABS,3,18,"(2,0)",1996.031800,195.759468,1,4,182.240192,129.274387
129,dwell,S2H_ABS,3,19,"(0,2)",2092.112184,422.096306,1,6,180.683245,258.659116
130,dwell,S2H_ABS,3,0,"(0,2)",2400.200852,43.126152,1,4,81.753883,285.487598
131,dwell,S2H_ABS,3,1,"(0,0)",4044.926835,769.968106,4,13,134.529476,448.979621
132,dwell,S2H_ABS,3,2,"(0,1)",2601.078826,497.225594,3,7,79.606840,338.664321
133,dwell,S2H_ABS,3,3,"(1,0)",1447.183520,292.975788,2,5,139.836936,231.947797
134,dwell,S2H_ABS,3,4,"(1,1)",1652.855777,320.442958,1,4,92.545711,232.554920
135,dwell,S2H_ABS,3,5,"(2,2)",1649.048561,238.734761,1,3,183.461324,128.276495
136,dwell,S2H_ABS,3,6,"(2,0)",1349.459045,215.506140,1,3,114.622991,159.978070
137,dwell,S2H_ABS,3,7,"(1,2)",1652.634318,346.640526,2,4,113.954178,186.240786
138,dwell,S2H_ABS,3,8,"(2,1)",98.488842,11.401754,0,2,0.000000,2.000000
139,dwell,S2H_ABS,5,0,"(0,3)",1898.438738,471.368771,1,7,88.804594,304.365376
